OTU	Status4	Status5
dbee618787d8ce9ffe9538ed091ee0c8	Bulk	No
ff2e55073c069e1ccf20fb485bc27a88	Rhizosphere	No
ce7e344429ed45d187edc976b86465f2	Rhizosphere	No
a41cd04830e0057820884b8acdef2ec1	Rhizosphere	No
c96731a09778908adf2733074db85ace	Rhizosphere	No
215ad51ee008b1801f396cd0efbe9c12	Bulk	No
16db4b2f5949fb4b3da199df4149a3c3	Bulk	No
a0ae16dbff6127c6dc40745fa457a663	Rhizosphere	No
2c6775d56517f64a9c14d95bbaf6023d	Bulk	No
11285449e7249be17697e3109df28383	Bulk	No
71e5244382593e269ef692fad27182f7	Bulk	No
ea2bd9fa7e9b53c1bb1d59afe79db6b9	Bulk	No
018067d40e530d0329429534c2109bfe	Rhizosphere	No
2000f6d728b313b7d201616ce88f4432	Rhizosphere	No
569d11c1d3193623d754218ce090b70c	Rhizosphere	No
9acad44257aed2cd3007da429d82add1	Root_endosphere	No
49d6dacea1e5272440c7ea521113feb3	Rhizosphere	No
2c2db5f519507fc8e449d35893c434f9	Rhizosphere	No
350c37b1f5a1fdc83783a472c59e8fea	Phyllosphere	Also_bulk
46c3af1a462b410643e9326b3d3a0221	Bulk	No
4e37ba8507aadc3d021b3b4811005360	Rhizosphere	No
2f73f505bb4c81faf13664681c008ec9	Rhizosphere	No
798d3d13c0bbedb45c4653018046b28d	Rhizosphere	No
8160206e19bddf6ea3a41f91ce457928	Root_endosphere	No
0e9a004ba66fba6d89f9049f23909a6c	Root_endosphere	No
dfa3c1b7fa1c5e3bb878b44320a88137	Rhizosphere	No
9b199d5cacaadbba21c151e707824231	Rhizosphere	No
a233d46ecf4c6c0f8802be24ecbef3e2	Bulk	No
349a2f4ea2000fcb2afc6e31284a3607	Rhizosphere	No
7181693939ea482556f39acb15ef7092	Bulk	No
a276c95c365525fabc125586d91c7a6b	Rhizosphere	No
01bc82741b4fc0f22f49684b3e48ad0a	Bulk	No
0dd5f2999f1b0e5cae6261fc24953328	Root_endosphere	No
76aeac8a8f3b7858eae005ac990bf5d8	Rhizosphere	No
4b416ce9f98a4d9fa6693a444722e95a	Rhizosphere	No
801c103604e452ad4074b4380abe5556	Rhizosphere	No
3f84fdf1db2a4884e901c92b85d94193	Rhizosphere	No
c8647e278c7b9a7196e7330bb23e1143	Root_endosphere	No
2c2b46158fd37ff3bf682657afc16d3b	Bulk	No
1b23bf1bc5831b457f4f8890c8aa2909	Rhizosphere	No
b9f63ed8d484495f9d90c8a5253be713	Rhizosphere	No
4e9fd98b4654d68dc1ec7b06caa9b922	Bulk	No
15f221fb62b635865db0e00ea8e548b1	Bulk	No
56e8ad7b274294702de1e4ecea08bc81	Bulk	No
0e2c91eae6d1f2aaa71270c449b40c1a	Bulk	No
06a2507455920cc75054095c21d2056d	Rhizosphere	No
77bbb1e8fe310bfa0f4dc5c3af1e1c15	Bulk	No
e1c50eca6bd2d65f9ff421b5b82ba64b	Bulk	No
ed1a1ea39dd31f8cdb1b9600edadf4a3	Root_endosphere	No
72a1f0a1125ebefab0da92439bf17b8a	Bulk	No
2345c975ae95fddd8aa7816acb912ffc	Root_endosphere	No
76355d0e37bd8efb05981bae02ddd5e2	Bulk	No
610609eec267c219ceeea8b49b85b7a0	Rhizosphere	No
8b42d6a30ca9e3c0f006bb5d0df4d189	Rhizosphere	No
4b91274046ee9e87bc71896efbb377e3	Bulk	No
9ab322fc858e1b2e3246e6132d4e95de	Rhizosphere	No
ab964b93bc3eab4dda41fa8f3c0b0ef6	Bulk	No
e334a81a9e03c47bbe88c4a80f3cd1b5	Rhizosphere	No
08f6a7b3f1f66d8764c7d8f74870a79b	Rhizosphere	No
0be0ea2a1f8a4154c0595b61b2b575c7	Rhizosphere	No
ef23db04ffcd59169b4c5697c554b99a	Bulk	No
679054f180f9b84cf84212d3d45bd60b	Phyllosphere	Also_bulk
0bc8ef4f0d5f9d9ca0d44d270d71067e	Rhizosphere	No
619042e096c550f1171f3296c2b451f4	Rhizosphere	No
39ea3dd1077f864af3ee4f4010e11a05	Rhizosphere	No
bc9a177bdfdd5c077144c85bab59c8a9	Root_endosphere	No
fafe19a13a93c8d5eabf00d475883a75	Bulk	No
7ee312b23600d406732d329746a4d9bf	Root_endosphere	No
04c9382f4f2fd5c771336e04a186e297	Rhizosphere	No
685b711c0625183813547d1f14640e68	Rhizosphere	No
98e900675c866d391ce23a1d915d3656	Rhizosphere	No
5967a10da8587d2aec989f4fa2550e83	Rhizosphere	No
36fb4bdb496016eaaa248fbd12a68ff4	Rhizosphere	No
060d830590fe8be80e49ce7d392932b1	Rhizosphere	No
ba9d06940293f8f39278795e76539cf4	Rhizosphere	No
9c9b9de997553bd70198f78f3af35f1a	Bulk	No
b300cd5c64f488a06e18560140348363	Bulk	No
e8ee12836fd3e16d5939c8fdccf73964	Rhizosphere	No
7f53200164b5a9e1dede0a518ef9ade4	Rhizosphere	No
e15ed7b9a86ef5b56862e20cb4ad3235	Rhizosphere	No
ed600f8fe991e099db94968d95846c63	Rhizosphere	No
6aef4f0f5f541e2c978867d70b5db8ff	Bulk	No
fec8b49bffb7f11c6d6ab7f9de189cab	Bulk	No
fad115193391eb8b041fa6184f0ac266	Rhizosphere	No
d0f927deae20903478fcb98f1fd500e6	Bulk	No
b8c0405c0615e0bb4d279d61fad80d6c	Root_endosphere	No
53c9ce216c720fff41b554e8c5c2a316	Rhizosphere	No
c93894cf1578ed4cc04401d4b4999292	Bulk	No
262259af1422a097100b3380887e9d04	Phyllosphere	No
cb1518a15d0931f7607c0401d97b4279	Rhizosphere	No
be1caeb5a3d435feba687da41918e7db	Bulk	No
d95165bacae893d263c7b8041fa5ecf7	Rhizosphere	No
1ea0a836cf5ea23d4535f5a4d4c90823	Bulk	No
1e0f22745f29b3c79b9fa38d7ba56ff0	Rhizosphere	No
bd4d66cb0d4308b84623a6b44a32262c	Root_endosphere	No
dab92a6010ee1f198a0e067a087d1bcf	Rhizosphere	No
642a81801e26a37f7fec9168da1fba1f	Bulk	No
8d1b5f4a983afea79cbb4107492e4204	Bulk	No
5f18d0757404a3446951fe5589d6573d	Rhizosphere	No
497ac4122e3fdb1669ca18a4539d261d	Bulk	No
ed03da29e9347a9fecc7e6b36ce4b20c	Root_endosphere	No
b4d8f99ba2b2d0b5beb4ef3f77ef232e	Rhizosphere	No
7d6f9204a95424869a5b33986e47a0bb	Rhizosphere	No
58c0d7aa2e83c6e54161141ebd8c6162	Rhizosphere	No
107eaaa5090d489aafbdae15831363ed	Bulk	No
507ca0dd693976615197c8890cb30582	Rhizosphere	No
